3. Pick a weekend activity:,4. What time do you usually snack?,"7. Finally, select which one of the following 10 snacks is your favorite"
Reading,Evening,Chocolate
Gaming/TV,Evening,Chips
Gaming/TV,Afternoon,Pretzels
Hanging out,Evening,Oreos
Hanging out,Evening,Oreos
Hanging out,Evening,Hot Cheetos
Gaming/TV,Afternoon,Popcorn
Gaming/TV,Late night,Chips
Hanging out,Afternoon,Hot Cheetos
Reading,Afternoon,Hot Cheetos
Hanging out,Afternoon,Yogurt
Hanging out,Evening,Popcorn
Hanging out,Late night,Chocolate
Reading,Evening,Hot Cheetos
Hanging out,Evening,Chocolate
Hanging out,Evening,Hot Cheetos
Hanging out,Evening,Trail Mix
Reading,Afternoon,Hot Cheetos
Hanging out,Evening,Hot Cheetos
Gaming/TV,Evening,Chocolate
Reading,Evening,Fruit snacks
Hanging out,Evening,Hot Cheetos
Reading,Evening,Chips
Hanging out,Evening,Chocolate
Gaming/TV,Evening,Chocolate
Hanging out,Afternoon,Oreos
Gaming/TV,Evening,Chocolate
Hanging out,Afternoon,Yogurt
Hanging out,Afternoon,Popcorn
Hanging out,Afternoon,Chips
Reading,Afternoon,Hot Cheetos
Hanging out,Late night,Oreos
Gaming/TV,Evening,Chocolate
Hanging out,Afternoon,Chips
Gaming/TV,Morning,Chocolate
Hanging out,Afternoon,Oreos
Gaming/TV,Afternoon,Yogurt
Hanging out,Evening,Hot Cheetos
Gaming/TV,Afternoon,Hot Cheetos
Sports,Afternoon,Chocolate
Reading,Late night,Hot Cheetos
Sports,Evening,Oreos
Hanging out,Afternoon,Hot Cheetos
Gaming/TV,Evening,Chocolate
Gaming/TV,Afternoon,Hot Cheetos
Hanging out,Afternoon,Chocolate
Hanging out,Late night,Popcorn
Gaming/TV,Evening,Popcorn
Hanging out,Evening,Trail Mix
Hanging out,Evening,Trail Mix
Reading,Evening,Chips
Hanging out,Evening,Granola Bar
Sports,Evening,Chips
Sports,Evening,Fruit snacks
Sports,Evening,Chocolate
Sports,Evening,Chips
Gaming/TV,Evening,Chips
Hanging out,Evening,Chips
Hanging out,Morning,Fruit snacks
Hanging out,Evening,Chips
Gaming/TV,Evening,Chocolate
Hanging out,Evening,Chips
Hanging out,Evening,Chips
Reading,Evening,Fruit snacks
Hanging out,Afternoon,Popcorn
Hanging out,Evening,Popcorn
Hanging out,Evening,Fruit snacks
Hanging out,Morning,Fruit snacks
Sports,Evening,Popcorn
Sports,Evening,Hot Cheetos
Hanging out,Evening,Fruit snacks
Gaming/TV,Evening,Popcorn
Hanging out,Evening,Chips
Hanging out,Evening,Chips
Sports,Evening,Popcorn
Sports,Afternoon,Hot Cheetos
Gaming/TV,Evening,Chips
Hanging out,Evening,Chips
Hanging out,Evening,Popcorn
Hanging out,Evening,Chips
Sports,Evening,Popcorn
Gaming/TV,Evening,Hot Cheetos
Gaming/TV,Evening,Chips
Sports,Evening,Popcorn
Gaming/TV,Afternoon,Popcorn
Reading,Late night,Chips
Sports,Evening,Hot Cheetos
Hanging out,Afternoon,Trail Mix
Hanging out,Afternoon,Hot Cheetos
Hanging out,Evening,Chocolate
Hanging out,Afternoon,Trail Mix
Hanging out,Afternoon,Yogurt
Sports,Late night,Chips
Hanging out,Evening,Chips
Sports,Evening,Chocolate
Sports,Afternoon,Chocolate
Gaming/TV,Evening,Trail Mix
Reading,Afternoon,Popcorn
Hanging out,Late night,Popcorn
Gaming/TV,Evening,Chocolate
Sports,Afternoon,Fruit snacks
Sports,Evening,Fruit snacks
Sports,Evening,Trail Mix
Hanging out,Late night,Chips
Hanging out,Evening,Chocolate
Hanging out,Evening,Popcorn
Hanging out,Afternoon,Chips
Reading,Evening,Trail Mix
Hanging out,Afternoon,Chocolate
Sports,Afternoon,Chocolate
Hanging out,Afternoon,Granola Bar
Hanging out,Afternoon,Fruit snacks
Hanging out,Evening,Popcorn
Gaming/TV,Evening,Popcorn
Reading,Evening,Fruit snacks
Sports,Evening,Trail Mix
Gaming/TV,Afternoon,Popcorn
Hanging out,Evening,Yogurt
Sports,Afternoon,Fruit snacks
Hanging out,Afternoon,Oreos
Sports,Evening,Pretzels
Hanging out,Evening,Chips
Sports,Evening,Fruit snacks
Hanging out,Evening,Granola Bar
Hanging out,Afternoon,Hot Cheetos
Hanging out,Afternoon,Granola Bar
Hanging out,Afternoon,Chips
Gaming/TV,Late night,Oreos
Hanging out,Evening,Popcorn
Gaming/TV,Afternoon,Trail Mix
Hanging out,Afternoon,Chips
Sports,Morning,Yogurt
Reading,Afternoon,Trail Mix
Hanging out,Late night,Pretzels
Gaming/TV,Evening,Granola Bar
Hanging out,Late night,Chips
Sports,Evening,Chips
Hanging out,Evening,Hot Cheetos
Reading,Afternoon,Hot Cheetos
Gaming/TV,Evening,Chocolate
Hanging out,Afternoon,Hot Cheetos
Gaming/TV,Evening,Chips
Hanging out,Evening,Popcorn
Hanging out,Afternoon,Chips
Hanging out,Late night,Chips
Hanging out,Evening,Popcorn
Hanging out,Afternoon,Chips
Hanging out,Evening,Granola Bar
Hanging out,Afternoon,Granola Bar
Hanging out,Evening,Popcorn
Sports,Evening,Trail Mix
Hanging out,Evening,Hot Cheetos
Sports,Afternoon,Chips
Sports,Afternoon,Granola Bar
Hanging out,Afternoon,Fruit snacks